ticker,expected_active,download_status,last_error
MBUMF,True,success,
MBUMY,True,success,
MCHIF,True,success,
MCQEF,True,success,
MDIKF,True,success,
MDIKY,True,success,
MDNDF,True,success,
MEBUF,True,success,
MECGF,True,success,
MEITF,True,success,
MEJHF,True,success,
MEPDF,True,success,
MERVF,True,success,
MGAWF,True,success,
MGAWY,True,success,
MHSMF,True,success,
MHTCF,True,success,
MICLF,True,success,
MIESF,True,success,
MIESY,True,success,
MILGF,True,success,
MIMTF,True,success,
MINBY,True,success,
MINOF,True,success,
MIPCF,True,success,
MITCF,True,success,
MITEF,True,success,
MITUF,True,success,
MITUY,True,success,
MIUFF,True,success,
MIUFY,True,success,
MIURF,True,success,
MIZUF,True,success,
MJPNF,True,success,
MKMLF,True,success,
MKOEF,True,success,
MLLUY,True,success,
MLYBY,True,success,
MLYNF,True,success,
MMTHF,True,success,
MMTOY,True,success,
MNBEF,True,success,
MNDDF,True,success,
MNFYY,True,success,
MNICF,True,success,
MNILY,True,success,
MNNLF,True,success,
MNRIF,True,success,
MNXBF,True,success,
MNYFF,True,success,
MOLFF,True,success,
MONOF,True,success,
MPNGF,True,success,
MRAAF,True,success,
MRCHF,True,success,
MRCIF,True,success,
MRHLF,True,success,
MRSKF,True,success,
MRUHF,True,success,
MSADF,True,success,
MSBPF,True,success,
MSLOF,True,success,
MSMKF,True,success,
MSSMY,True,success,
MTCPY,True,success,
MTGSF,True,success,
MTHRF,True,success,
MTLHF,True,success,
MTLHY,True,success,
MTNOF,True,success,
MTNOY,True,success,
MTPOF,True,success,
MTPOY,True,success,
MTRJF,True,success,
MTSEF,True,success,
MTSFF,True,success,
MTWTF,True,success,
MURGF,True,success,
MWTCF,True,success,
MWTCY,True,success,
MZHOF,True,success,
MZTFF,True,success,
NATKY,True,success,
NAUBF,True,success,
NBFJF,True,success,
NBNKF,True,success,
NCBDF,True,success,
NCHEF,True,success,
NCHEY,True,success,
NCKAF,True,success,
NCLTY,True,success,
NCTKF,True,success,
